"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",31077,31321,28794,34875,27154,25649,25076,23184,28370,25139
"충북 충주",464,402,305,420,301,335,290,268,320,406
"전남 해남",770,1107,944,1419,904,879,1013,914,1134,755
"전남 무안",1018,1311,1153,1580,1199,1124,1184,1010,1290,981
"전남 함평",483,555,558,581,478,474,426,347,541,493
"전남 신안",1798,2150,2114,2619,2299,1820,1672,1537,1344,1985
"경북 안동",1031,924,743,766,772,758,661,598,743,645
"경북 군위",552,445,400,414,309,297,280,278,372,306
"경북 의성",837,682,654,727,634,647,611,535,740,533
"경북 예천",951,672,567,679,525,556,573,507,587,684
"제주 제주",926,1123,1163,1192,931,619,680,567,787,474
