"½Ãµµº°","Á¾·ùº°",2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"½Ãµµº°","Á¾·ùº°",À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,Âü±ú,µé±ú,¶¥Äá,Âü±ú,µé±ú,¶¥Äá,Âü±ú,µé±ú,¶¥Äá,Âü±ú,µé±ú,¶¥Äá,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá,À¯Ã¤,Âü±ú,µé±ú,¶¥Äá
"°è","ÇÕ°è",1419,43541,29054,4763,648,44176,26489,5483,1127,35036,28703,4079,1148,31843,24368,3454,979,33971,23952,3352,669,31077,26652,2970,622,31321,28506,3318,1048,28794,26760,3366,1490,34875,29640,4111,0,27154,33376,5381,0,25649,32156,4413,0,25076,29765,4072,23184,30130,4374,28370,37461,4565,25139,42570,4589,27170,45474,5632,29682.2059,43352.3219,5189.7556,-,24759.7694,34862.5586,4117.6633,-,25159.2987,37377.0583,3236.3081,-,22929.5389,36111.4967,3741.178
"¼­¿ïÆ¯º°½Ã","ÇÕ°è",0,10,20,2,0,10,19,3,0,4,9,1,0,2,18,0,0,9,9,1,0,8,14,0,0,5,15,0,0,7,7,0,0,6,13,2,0,3,3,2,0,7,4,4,0,3,4,6,5,5,3,7,6,4,4,2,4,1,1,0,2.8459,4.2673,0.7697,-,2.3669,7.578,0.5935,-,2.6098,4.542,0.483,-,1.9757,5.977,0.4412
"ºÎ»ê±¤¿ª½Ã","ÇÕ°è",0,49,17,1,0,65,15,3,0,24,13,1,0,28,8,1,0,38,5,2,0,44,26,2,0,45,6,1,0,73,16,6,0,65,19,2,0,45,4,1,0,43,25,0,0,50,15,3,67,18,4,70,25,4,48,35,4,21,25,2,30.3755,42.1087,5.3909,-,32.6995,31.2674,5.0263,-,32.7651,37.1875,5.4119,-,30.403,25.5504,7.7317
"´ë±¸±¤¿ª½Ã","ÇÕ°è",0,341,58,58,0,330,61,55,0,273,58,48,0,237,69,42,0,290,61,36,0,280,104,55,0,237,81,41,0,243,95,46,0,273,87,58,0,239,139,63,0,261,126,66,0,217,116,46,173,97,38,212,124,37,194,163,40,144,197,37,162.1163,169.2519,30.5756,-,112.7404,133.0305,22.7232,-,148.4478,115.8739,19.6883,-,151.4744,112.3969,15.9143
"ÀÎÃµ±¤¿ª½Ã","ÇÕ°è",0,271,373,24,0,210,316,32,0,184,305,24,0,131,290,19,0,138,255,24,0,124,343,25,0,126,294,23,0,77,255,11,0,105,271,30,0,78,267,34,0,99,282,45,0,78,304,39,69,284,48,94,348,64,119,413,79,116,363,67,131.8309,426.6413,67.2685,-,92.2985,409.8476,67.7251,-,126.8547,349.3809,47.3248,-,118.6578,356.8016,55.586
"±¤ÁÖ±¤¿ª½Ã","ÇÕ°è",0,369,98,7,0,413,102,5,2,314,139,7,0,286,92,5,0,263,85,11,0,263,73,6,0,265,86,6,0,277,131,12,0,260,96,5,0,200,79,12,0,223,97,20,0,208,107,14,178,105,14,234,148,15,157,146,30,197,178,36,233.9239,191.4064,17.3582,-,206.763,97.6063,15.3841,-,201.1358,119.9898,19.9729,-,171.8441,93.8928,19.4062
"´ëÀü±¤¿ª½Ã","ÇÕ°è",0,131,368,2,0,133,341,7,0,105,299,5,0,84,277,2,0,95,291,2,0,65,260,5,0,81,263,5,0,57,228,8,0,71,166,12,0,71,231,10,0,54,275,16,0,84,274,11,85,218,19,90,263,27,80,290,24,70,276,19,58.3096,329.7074,17.3853,-,43.7098,296.0141,6.0128,-,35.6901,230.7066,5.6082,-,57.4738,177.5637,4.7183
"¿ï»ê±¤¿ª½Ã","ÇÕ°è",0,123,76,6,0,137,66,7,0,104,73,5,0,81,48,5,0,106,59,7,0,88,93,1,0,69,86,2,0,45,85,3,0,102,107,6,0,46,95,7,0,72,134,18,0,57,62,7,91,91,9,99,150,7,68,151,7,73,212,16,84.835,306.9568,17.1444,-,92.0657,270.4452,16.6268,-,84.9865,180.2172,11.3617,-,70.8225,152.4462,17.071
"¼¼Á¾Æ¯º°ÀÚÄ¡½Ã","ÇÕ°è",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,377,19,83.6573,356.4336,15.8204,-,79.3056,283.7632,11.7579,-,98.5614,303.0754,13.0618,-,103.2382,284.2654,7.8629
"°æ±âµµ","ÇÕ°è",0,2916,5218,636,0,2684,4770,536,0,2245,4612,356,0,1825,4420,388,0,1737,4217,347,0,1854,4491,303,0,1768,4859,321,0,1581,4800,306,0,1772,5257,452,0,1471,5773,661,0,1293,5491,493,0,1290,5774,561,1293,5438,721,1357,6145,577,1298,6748,658,1649,7876,841,1772.8699,7266.3625,870.6469,-,1508.4706,6429.9701,746.9034,-,1600.0705,5959.3101,474.8527,-,1464.6718,5524.1497,659.1554
"°­¿øµµ","ÇÕ°è",0,962,4336,106,0,1070,4208,162,0,786,4208,90,0,625,4113,59,0,712,3981,63,0,718,4144,55,0,742,4920,82,0,664,4337,81,0,710,4629,100,0,559,4982,97,0,502,5232,135,0,533,5367,115,446,5166,133,509,6172,123,552,6562,163,581,6732,162,736.3257,6024.0346,166.3725,-,606.9346,4879.5858,143.0599,-,731.239,5730.3771,123.8932,-,562.6367,6042.2245,119.5248
"ÃæÃ»ºÏµµ","ÇÕ°è",0,3666,4666,340,0,3422,4098,424,0,2946,4663,277,0,2625,3565,207,0,2719,3374,172,0,2873,4175,206,0,2675,4431,252,0,2330,3854,243,0,2789,4536,275,0,2181,4575,504,0,2104,4514,430,0,2085,4034,335,1960,4250,317,2330,5077,345,2291,5832,308,2566,6080,515,2562.96,5918.8017,447.3848,-,2022.7134,4420.7866,381.6575,-,2139.6808,4689.7266,259.8883,-,1766.8243,4540.6298,352.4921
"ÃæÃ»³²µµ","ÇÕ°è",0,4134,6312,928,0,3729,5550,1105,0,2980,5992,718,1,2488,4930,482,0,2504,5197,494,0,2327,5179,303,1,2189,5485,388,0,2307,5303,550,0,2391,6047,678,0,2066,5951,771,0,1859,5905,537,0,1742,5171,505,1814,5607,623,2305,6721,625,2422,7082,602,2358,6973,750,2532.7341,6922.8712,640.4009,-,2090.223,5032.5644,473.3961,-,2058.7798,6394.1562,403.4848,-,2057.1184,5892.0221,523.5196
"Àü¶óºÏµµ","ÇÕ°è",0,3675,3360,792,0,3449,3093,1124,0,3036,3493,711,0,2678,2657,618,0,2715,2508,753,0,2460,2899,562,1,2541,2785,664,0,2685,2886,560,229,2876,3120,807,0,2147,3164,1121,0,2093,3149,590,0,2098,2602,525,1935,2847,614,2418,3434,833,2083,4151,763,3010,4752,1121,3467.1391,4699.6021,1087.875,-,2598.4144,3615.8363,729.7825,-,2853.5296,4006.2625,670.6583,-,2462.1007,3762.9139,711.858
"Àü¶ó³²µµ","ÇÕ°è",8,12075,1495,161,6,13751,1457,218,0,9944,1989,133,0,9655,1287,129,3,10382,1402,128,5,8602,1649,107,62,10089,1616,149,0,9141,1469,143,477,12443,1901,197,0,9318,2111,311,0,8410,2081,225,0,8204,1827,231,7493,1759,295,9295,2743,328,8108,3498,385,7045,3377,426,7900.1956,3117.4999,397.5435,-,6933.5699,2282.7817,312.1667,-,6804.4955,2489.1035,209.8487,-,6226.6422,2828.0429,235.6352
"°æ»óºÏµµ","ÇÕ°è",0,8864,1574,1151,0,9191,1452,1256,0,8283,1692,1174,0,6727,1488,997,0,7148,1445,954,0,7642,2123,1016,0,6459,2486,1014,0,5581,2130,1140,0,6294,2304,1176,0,5204,4496,1339,0,5304,3160,1434,0,4929,2637,1280,4599,2798,1049,5563,3972,1161,4821,4984,1144,5750,5115,1299,6088.6641,4854.4345,1124.9323,-,4970.7171,4156.3926,956.2221,-,5007.0876,4213.881,775.3928,-,4717.062,3895.5181,817.4215
"°æ»ó³²µµ","ÇÕ°è",0,4197,1082,248,0,3951,941,232,0,2966,1157,244,8,2746,1103,236,0,3133,1063,211,7,2704,1078,175,13,2505,1093,186,40,2319,1162,189,66,2999,1081,199,0,2462,1504,244,0,2681,1677,282,0,2703,1471,261,2283,1447,261,2880,2130,254,2383,2513,260,2599,2940,321,2895.2298,2718.2275,282.2646,-,2812.3299,2510.0081,227.2218,-,2637.7207,2546.3317,192.2567,-,2510.6774,2410.0596,191.6536
"Á¦ÁÖµµ","ÇÕ°è",1411,1758,1,301,642,1631,0,314,1125,842,1,285,1139,1625,3,264,976,1982,0,147,657,1025,1,149,545,1525,0,184,1008,1407,2,68,718,1719,6,112,0,1064,2,204,0,644,4,118,0,795,0,133,693,0,226,907,3,161,511,0,118,890,0,1,938.1932,3.7145,0.6221,-,554.4471,5.0807,1.4036,-,595.644,6.9363,3.12,-,455.9159,7.0421,1.1862
