시도별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,15661,14747,15295,14243,14064,12982,13474,12622,11955,11589,11146,10672,9121,8853.0202,8359.6817,7869.0155,7614.0877
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0
부산광역시,57,67,89,80,101,87,80,76,64,35,61,63,57,28.1162,25.93,23.8658,23.7756
대구광역시,127,123,148,124,132,109,120,95,91,69,58,57,5,2.9677,3.3,25.6852,25.2173
인천광역시,1,1,12,12,0,0,4,10,15,14,14,13,0,0,0.0204,0,1.253
광주광역시,220,180,264,229,145,108,140,146,137,104,126,133,188,162.5521,127.9861,135.996,124.3889
대전광역시,2,2,2,0,0,0,1,0,0,0,0,0,0,4.2943,4.4936,1.8289,1.8641
울산광역시,166,166,289,265,316,293,244,279,309,296,316,305,252,209.9566,226.6059,210.4578,188.8757
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1736,0.2128,0,0
경기도,7,6,0,0,1,1,4,5,2,3,0,1,4,4.4103,3.5003,7.5475,6.1581
강원도,12,8,6,5,7,3,10,10,7,6,11,11,5,5.1707,0.5611,2.501,1.7883
충청북도,0,0,0,2,1,5,0,0,0,2,0,0,2,2.9944,0,0.9102,1.4993
충청남도,78,81,62,41,47,42,19,34,35,41,35,27,12,18.6549,13.9409,44.4724,98.3866
전라북도,103,97,36,55,59,52,49,54,89,80,53,74,26,88.3287,85.8277,32.0807,37.3682
전라남도,5062,4660,4309,3852,3828,3663,3546,3317,3248,3154,3000,2716,2719,2665.8701,2415.5137,2218.9657,2094.8921
경상북도,1233,1188,924,905,973,878,915,813,780,717,589,588,433,456.5553,445.6281,369.8155,346.5624
경상남도,8443,8064,9011,8554,8346,7653,8262,7698,7097,6991,6815,6613,5337,5111.813,4905.5657,4700.3123,4568.7409
제주도,150,104,143,119,108,88,80,85,81,77,68,71,81,91.1623,100.5866,94.5765,93.3172
