연월일,01,02,03,04,05,06,07,08,09,10,11,12,합계
1951,,1,1,2,1,1,3,3(1),2(1),4(1),1,2,21(3)
1952,,,,,,3(1),3(1),5(2),3,6,3,4,27(4)
1953,,1,,,1(1),2(1),1,6(1),3,5,3,1,23(3)
1954,,,1,,1,,1,5(1),5(2),4,3,1,21(3)
1955,1,1,1,1,,2,7(2),6,4(1),3,1,1,28(3)
1956,,,1,2,,1,2,5(2),6(2),1,4,1,23(4)
1957,2,,,1,1,1(1),1,4(1),5,4,3,,22(2)
1958,1,,,1,1,4,7,5(1),5,3,2,2,31(1)
1959,,1,1,1,,,2(2),5(2),5(3),4,2,2,23(7)
1960,,,,1,1,3,3(1),10(2),3,4,1,1,27(3)
1961,1,,1,,2(1),3(1),4(1),6,6(2),4,1,1,29(5)
1962,,1,,1,2,,5(2),8(2),4,5,3,1,30(4)
1963,,,,1,,4(2),4(1),3,5,4,,3,24(3)
1964,,,,,2,2,7(4),5,6,5,6,1,34(4)
1965,2,1,1,1,2,3,5(2),5(1),8,2,2,,32(3)
1966,,,,1,2,1,4,10(3),9,4,3,1,35(3)
1967,,1,2,1,1,1,7(1),9,9,4,3,1,39(1)
1968,,,,1,1,1,3(1),8(1),3(1),5,5,,27(3)
1969,1,,1,1,,,3,4,3(1),3,2,1,19(1)
1970,,1,,,,2(1),3(1),6(2),5,5,4,,26(4)
1971,1,,1,3,4,2,8(1),5(1),6(1),4,2,,36(3)
1972,1,,,,1,3,6(2),5(1),5(1),5,3,2,31(4)
1973,,,,,,,7(2),5(1),2,4,3,,21(3)
1974,1,,1,1,1,4(1),4(1),5(1),5,4,4,2,32(3)
1975,1,,,,,,2(1),4(1),5,5,3,1,21(2)
1976,1,1,,2,2,2,4(3),4(2),5(1),1,1,2,25(6)
1977,,,1,,,1,3,3(1),5(1),5,1,2,21(2)
1978,1,,,1,,3(1),4(1),8(1),5(1),4,4,,30(4)
1979,1,,1,1,2,,4,2(2),6,3,2,2,24(2)
1980,,,,1,4,1,4(1),2(1),6(1),4,1,1,24(3)
1981,,,1,2,,3(2),4(1),8(1),4(1),2,3,2,29(5)
1982,,,3,,1,3,3(1),5(2),5(1),3,1,1,25(4)
1983,,,,,,1,3,5,2(1),5,5,2,23(1)
1984,,,,,,2,5(1),5(2),4,7,3,1,27(3)
1985,2,,,,1,3(1),1,8(3),5(1),4,1,2,27(5)
1986,,1,,1,2,2(1),3,5(1),3(1),5,4,3,29(3)
1987,1,,,1,,2,4(2),4(1),6,2,2,1,23(3)
1988,1,,,,1,3,2,8,8,5,2,1,31(0)
1989,1,,,1,2,2(1),7(1),5,6,4,3,1,32(2)
1990,1,,,1,1,3(1),4(1),6(1),4(1),4,4,1,29(4)
1991,,,2,1,1,1,4(1),5(2),6(2),3,6,,29(5)
1992,1,1,,,,2,4,8(1),5(1),7,3,,31(2)
1993,,,1,,,1,4(2),7(2),5,5,2,3,28(4)
1994,,,,1,1,2,7(2),9(2),8,6(1),,2,36(5)
1995,,,,1,,1,2(1),6(1),5(1),6,1,1,23(3)
1996,,1,,1,2,,5(1),6(1),6,2,2,1,26(2)
1997,,,,2,3,3(1),4(2),6,4(1),3,2,1,28(4)
1998,,,,,,,1,3,5(1),2(1),3,2,16(2)
1999,,,,2,,1,4(2),6(1),6(2),2,1,,22(5)
2000,,,,,2,,5(2),6(2),5(1),2,2,1,23(5)
2001,,,,,1,2,5,6(1),5,3,1,3,26(1)
2002,1,1,,,1,3(1),5(2),6(1),4,2,2,1,26(4)
2003,1,,,1,2(1),2(1),2,5(1),3(1),3,2,,21(4)
2004,,,,1,2,5(1),2(1),8(3),3,3,3,2,29(5)
2005,1,,1,1,,1,5,5(1),5,2,2,,23(1)
2006,,,,,1,1,3(1),7(1),3(1),4,2,2,23(3)
2007,,,,1,1,,3(2),4,5(1),6,4,,24(3)
2008,,,,1,4,1,2(1),4,5,1,3,1,22(1)
2009,,,,,2,2,2,5,7,3,1,,22(0)
2010,,,1,,,,2,5(2),4(1),2,,,14(3)
2011,,,,,2,3(1),4(1),3(1),7,1,,1,21(3)
2012,,,1,,1,4,4(2),5(2),3(1),5,1,1,25(5)
2013,1,1,,,,4(1),3,6(1),8,6(1),2,,31(3)
2014,2,1,,2,,2,5(3),1,5,2(1),1,2,23(4)
2015,1,1,2,1,2,2(1),4(2),3(1),5,4,1,1,27(4)
2016,,,,,,,4,7,7(2),4,3,1,26(2)
2017,,,,1,,1,8(2),5,4(1),3,3,2,27(3)
2018,1,1,1,,,4(1),5,9(2),4(2),1,3,,29(5)
2019,1,1,,,,1,4(1),5(3),6(3),4,6,1,29(7)
2020,,,,,1,1,,7(3),4(1),7,2,1,23(4)
