작물별 특성 아이디,작물명,세부분류
PA010101,감귤,-
PA020101,감자,봄
PA020201,감자,고랭지
PA020301,감자,가을
PA030101,건고추,-
PA040101,고구마,밤
PA050101,깻잎,-
PA060101,녹두,-
PA070101,단감,-
PA080101,당근,봄
PA080201,당근,고랭지
PA080301,당근,가을
PA080401,당근,겨울
PA090101,대파,봄대파
PA090201,대파,여름대파
PA090301,대파,가을대파
PA090401,대파,겨울대파
PA100101,들깨,-
PA110101,땅콩,-
PA120101,마늘,한지형
PA120201,마늘,난지형
PA130101,무,겨울
PA130201,무,봄
PA130301,무,고랭지
PA130401,무,가을
PA140101,미나리,-
PA150101,방울토마토,-
PA160101,배,-
PA170101,배추,겨울
PA170201,배추,봄
PA170301,배추,고랭지
PA170401,배추,가을
PA180101,복숭아,백도
PA180201,복숭아,유명
PA190101,붉은고추,붉은고추
PA200101,사과,-
PA210101,생강,-
PA220101,시금치,-
PA230101,쌀,일반계
PA240101,양배추,봄
PA240201,양배추,고랭지
PA240301,양배추,가을
PA250101,양파,조생종
PA250201,양파,중만생종
PA260101,얼갈이배추,-
PA270101,열무,-
PA280101,오이,가시계통
PA280201,오이,다다기계통
PA280301,오이,취청
PA290101,쪽파,-
PA300101,참깨,-
PA310101,참다래,-
PA320101,콩,백태
PA330101,팥,적두
PA340101,포도,캠벨얼리
PA350101,풋고추,풋고추
PA350201,풋고추,꽈리고추
PA350301,풋고추,청양고추
PA360101,호박,애호박
PA360201,호박,쥬키니
