시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,50266,40358,52030,44607,39790,40481,32093,32621,28295,27593,32265,20945,22798,14972,13407,12174,18593,17052,14774,0
서울특별시,16,98,80,176,60,28,170,18,106,0,0,2,0,0,0,2,2,0,0,0
부산광역시,904,496,554,594,332,354,312,182,184,194,50,68,50,54,70,6,58,18,10,0
대구광역시,464,518,400,424,74,64,96,132,60,60,38,18,10,8,8,10,66,12,44,0
인천광역시,132,96,84,90,102,130,136,122,24,12,24,8,8,0,8,8,10,8,12,0
광주광역시,264,204,218,200,44,104,114,78,44,8,32,12,28,130,6,2,14,20,16,0
대전광역시,52,8,64,44,22,6,12,2,12,34,70,0,2,0,0,2,0,0,0,0
울산광역시,98,116,96,178,124,144,152,32,108,36,46,18,8,8,16,4,16,20,26,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,2,0
경기도,2162,2030,2042,2090,1456,1646,1054,962,590,322,778,392,394,352,668,492,418,328,430,0
강원도,11243,8303,9754,10230,7861,8258,7006,7115,6381,5763,6335,5240,6223,5483,5672,5140,6417,6278,5975,0
충청북도,4611,3397,5209,4388,2522,2313,1610,1852,1622,1628,2732,688,1050,1118,800,1148,2030,1422,1438,0
충청남도,1592,1042,1580,1570,572,1184,870,876,778,726,878,384,396,304,324,590,498,394,380,0
전라북도,3260,2185,2888,2246,1582,1751,1268,1424,1606,964,1686,1039,943,1246,879,561,1118,1229,594,0
전라남도,17120,13614,18870,13568,18884,16436,13270,14320,11438,12848,12404,9126,8478,1946,2272,964,2998,2970,2380,0
경상북도,5836,5381,6539,5963,3853,5324,4092,4061,4010,3257,4732,2376,3554,2882,2110,2318,3458,3550,2545,0
경상남도,1806,1664,1926,1852,1208,1537,1247,911,888,871,1686,844,748,729,370,595,994,496,542,0
제주도,706,1206,1726,994,1094,1202,684,534,444,870,774,730,906,712,204,328,498,298,380,0
